dua_id,category,title,arabic_text,transliteration,english_meaning,urdu_meaning,source,reference,authenticity,occasion,data_source,verification_status
DUA-0013,Salah,Going to Mosque,اللَّهُمَّ اجْعَلْ فِي قَلْبِي نُوراً، وَفِي لِسَانِي نُوراً,"Allahumma-j'al fi qalbi nuran, wa fi lisani nuran","O Allah, place light in my heart, and on my tongue light.",اے اللہ میرے دل میں نور رکھ اور میری زبان میں نور رکھ۔,Sahih Bukhari,6316,Sahih,Going to mosque,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Narrated Ibn `Abbas:One night I slept at the house of Maimuna. The Prophet (ﷺ) w...
DUA-0014,Salah,Entering Mosque,اللَّهُمَّ افْتَحْ لِي أَبْوَابَ رَحْمَتِكَ,Allahummaf-tah li abwaba rahmatik,"O Allah, open the gates of Your mercy for me.",اے اللہ میرے لیے اپنی رحمت کے دروازے کھول دے۔,Sahih Muslim,713,Sahih,Entering mosque,Manual (Hisnul Muslim + Quran),✅ VERIFIED | This hadith with the same sense (as narrated above) bus been transmitted from Hi...
DUA-0015,Salah,Leaving Mosque,اللَّهُمَّ إِنِّي أَسْأَلُكَ مِنْ فَضْلِكَ,Allahumma inni as'aluka min fadlik,"O Allah, I ask You from Your favor.",اے اللہ میں تجھ سے تیرا فضل مانگتا ہوں۔,Sahih Muslim,713,Sahih,Leaving mosque,Manual (Hisnul Muslim + Quran),✅ VERIFIED | This hadith with the same sense (as narrated above) bus been transmitted from Hi...
DUA-0016,Salah,After Adhan,اللَّهُمَّ رَبَّ هَذِهِ الدَّعْوَةِ التَّامَّةِ وَالصَّلَاةِ الْقَائِمَةِ آتِ مُحَمَّداً الْوَسِيلَةَ وَالْفَضِيلَةَ,"Allahumma Rabba hadhihid-da'watit-tammah, was-salatil-qa'imah, ati Muhammadanil wasilata wal-fadilah","O Allah, Lord of this perfect call and established prayer, grant Muhammad the intercession and honor.",اے اللہ اس کامل دعوت اور قائم ہونے والی نماز کے رب، محمدﷺ کو وسیلہ اور فضیلت عطا فرما۔,Sahih Bukhari,614,Sahih,After Adhan,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Jabir bin `Abdullah:Allah's Messenger (ﷺ) said, ""Whoever after listenin..."
DUA-0017,Travel,Riding a Vehicle,سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ وَإِنَّا إِلَى رَبِّنَا لَمُنْقَلِبُونَ,"Subhanal-ladhi sakhkhara lana hadha wa ma kunna lahu muqrinin, wa inna ila rabbina lamunqalibun","Glory be to Him Who has subjected this to us, and we could not have it by our efforts. And to our Lord we shall certainly return.",پاک ہے وہ جس نے اسے ہمارے لیے مسخر کیا اور ہم اسے قابو میں نہیں کر سکتے تھے اور ہم یقینا اپنے رب کی طرف لوٹنے والے ہیں۔,Sunan Abu Dawud,2602,Sahih,When riding a vehicle,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Narrated Ali ibn AbuTalib: Ali ibn Rabi'ah said: I was present with Ali while a ...
DUA-0018,Travel,Entering a Town,اللَّهُمَّ بَارِكْ لَنَا فِيهَا,Allahumma barik lana fiha,"O Allah, bless us in it.",اے اللہ ہمارے لیے اس میں برکت دے۔,Sunan Abu Dawud,2600,Sahih,Entering a new town,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Qaza’ah said Ibn ‘Umar told me “Come, I see off you as the Apostle of Allaah(ﷺ) ..."
DUA-0019,Travel,Returning from Travel,آيِبُونَ تَائِبُونَ عَابِدُونَ لِرَبِّنَا حَامِدُونَ,"Ayibuna, ta'ibuna, 'abiduna, lirabbina hamidun","We return, repent, worship and praise our Lord.",ہم لوٹنے والے، توبہ کرنے والے، عبادت کرنے والے اور اپنے رب کی تعریف کرنے والے ہیں۔,Sahih Bukhari,3085,Sahih,Returning from travel,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Narrated Anas bin Malik:We were in the company of the Prophet (ﷺ) while returnin...
DUA-0020,Protection,Protection from Evil Eye,أَعُوذُ بِكَلِمَاتِ اللَّهِ التَّامَّاتِ مِنْ شَرِّ مَا خَلَقَ,A'udhu bikalimatillahit-tammati min sharri ma khalaq,I seek refuge in the perfect words of Allah from the evil of what He has created.,میں اللہ کے کامل کلمات کے ذریعے اس کی مخلوق کے شر سے پناہ مانگتا ہوں۔,Sahih Muslim,2708,Sahih,Protection from evil,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Abu Huraira and Abu Sa'id (Allah be pleased with both of them) reported Allah's ...
DUA-0021,Protection,Against Shaitan,أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ,A'udhu billahi minash-shaytanir-rajim,I seek refuge with Allah from the accursed devil.,میں شیطان مردود سے اللہ کی پناہ مانگتا ہوں۔,Sahih Bukhari,3282,Sahih,When feeling anger or whispers of Shaitan,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Sulaiman bin Surad:While I was sitting in the company of the Prophet, t..."
DUA-0022,Protection,Morning Protection (3x),بِسْمِ اللَّهِ الَّذِي لَا يَضُرُّ مَعَ اسْمِهِ شَيْءٌ فِي الْأَرْضِ وَلَا فِي السَّمَاءِ وَهُوَ السَّمِيعُ الْعَلِيمُ,Bismillahil-ladhi la yadurru ma'asmihi shay'un fil-ardi wa la fis-sama'i wa huwas-sami'ul 'alim,"In the name of Allah with Whose name nothing can harm, in the earth or in the heavens, and He is the All-Hearing, All-Knowing.",اللہ کے نام سے جس کے نام کے ساتھ زمین اور آسمان میں کوئی چیز نقصان نہیں دیتی اور وہ سننے والا جاننے والا ہے۔,Sunan Abu Dawud,5088,Sahih,Morning and evening (3 times),Manual (Hisnul Muslim + Quran),✅ VERIFIED | Narrated Uthman ibn Affan: Aban ibn Uthman said: I heard Uthman ibn Affan (his f...
DUA-0023,Forgiveness,Istighfar,أَسْتَغْفِرُ اللَّهَ,Astaghfirullah,I seek the forgiveness of Allah.,میں اللہ سے مغفرت مانگتا ہوں۔,Sahih Bukhari,6307,Sahih,Seeking forgiveness anytime,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Abu Huraira:I heard Allah's Messenger (ﷺ) saying."" By Allah! I ask for ..."
DUA-0024,Forgiveness,Complete Istighfar,أَسْتَغْفِرُ اللَّهَ الْعَظِيمَ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْحَيُّ الْقَيُّومُ وَأَتُوبُ إِلَيْهِ,Astaghfirullahil-'Azim alladhi la ilaha illa huwal Hayyul Qayyumu wa atubu ilyh,"I seek forgiveness from Allah, the Magnificent, besides Whom there is none worthy of worship, the Ever-Living, the Sustainer, and I repent to Him.",میں عظیم اللہ سے مغفرت مانگتا ہوں جس کے سوا کوئی معبود نہیں، ہمیشہ زندہ اور قائم رہنے والا ہے اور میں اس کی طرف توبہ کرتا ہوں۔,Sunan Abu Dawud,1517,Hasan,Seeking complete forgiveness,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Zayd, the client of the Prophet: The Prophet (ﷺ) said: If anyone says: ..."
DUA-0025,Hardship & Anxiety,Dua for Anxiety,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْهَمِّ وَالْحَزَنِ، وَالْعَجْزِ وَالْكَسَلِ، وَالْبُخْلِ وَالْجُبْنِ، وَضَلَعِ الدَّيْنِ وَغَلَبَةِ الرِّجَالِ,"Allahumma inni a'udhu bika minal-hammi wal-hazan, wal-'ajzi wal-kasal, wal-bukhli wal-jubn, wa dhala'id-dayni wa ghalabatir-rijal","O Allah, I seek refuge in You from grief and sadness, from weakness and from laziness, from miserliness and from cowardice, from being overcome by debt and overpowered by men.",اے اللہ میں تجھ سے غم اور اداسی سے، کمزوری اور سستی سے، بخل اور بزدلی سے اور قرض کے بوجھ اور لوگوں کے غلبے سے پناہ مانگتا ہوں۔,Sahih Bukhari,2893,Sahih,When feeling anxious or sad,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Anas bin Malik:The Prophet (ﷺ) said to Abu Talha, ""Choose one of your b..."
DUA-0026,Hardship & Anxiety,Dua of Prophet Yunus,لَا إِلَهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ,La ilaha illa anta subhanaka inni kuntu minaz-zalimin,"There is no deity except You; exalted are You. Indeed, I have been of the wrongdoers.",تیرے سوا کوئی معبود نہیں، تو پاک ہے، بیشک میں ظالموں میں سے تھا۔,Quran 21:87,Al-Anbiya:87,Sahih,In times of extreme difficulty,Manual (Hisnul Muslim + Quran),📖 Quran — Verified
DUA-0027,Hardship & Anxiety,Hasbunallah,حَسْبُنَا اللَّهُ وَنِعْمَ الْوَكِيلُ,Hasbunallahu wa ni'mal wakil,Allah is sufficient for us and He is the best disposer of affairs.,اللہ ہمارے لیے کافی ہے اور وہ بہترین کارساز ہے۔,Quran 3:173,Al-Imran:173,Sahih,When facing hardship or fear,Manual (Hisnul Muslim + Quran),📖 Quran — Verified
DUA-0028,Family & Parents,Dua for Parents,رَّبِّ ارْحَمْهُمَا كَمَا رَبَّيَانِي صَغِيرًا,Rabbir-hamhuma kama rabbayani saghira,"My Lord, have mercy upon them as they brought me up when I was small.",اے میرے رب ان دونوں پر رحم فرما جیسا انہوں نے مجھے بچپن میں پالا۔,Quran 17:24,Al-Isra:24,Sahih,Dua for parents,Manual (Hisnul Muslim + Quran),📖 Quran — Verified
DUA-0029,Family & Parents,Dua for Righteous Children,رَبِّ هَبْ لِي مِنَ الصَّالِحِينَ,Rabbi hab li minas-salihin,"My Lord, grant me from among the righteous.",اے میرے رب مجھے نیک اولاد عطا فرما۔,Quran 37:100,As-Saffat:100,Sahih,Seeking righteous children,Manual (Hisnul Muslim + Quran),📖 Quran — Verified
DUA-0030,Family & Parents,Dua for Family,رَبَّنَا هَبْ لَنَا مِنْ أَزْوَاجِنَا وَذُرِّيَّاتِنَا قُرَّةَ أَعْيُنٍ وَاجْعَلْنَا لِلْمُتَّقِينَ إِمَامًا,Rabbana hab lana min azwajina wa dhurriyyatina qurrata a'yunin waj'alna lil-muttaqina imama,"Our Lord, grant us from among our wives and offspring comfort to our eyes and make us a leader for the righteous.",اے ہمارے رب ہمیں ہماری بیویوں اور اولاد سے آنکھوں کی ٹھنڈک عطا فرما اور ہمیں متقیوں کا امام بنا دے۔,Quran 25:74,Al-Furqan:74,Sahih,For family wellbeing,Manual (Hisnul Muslim + Quran),📖 Quran — Verified
DUA-0031,Rain & Weather,Dua for Rain,اللَّهُمَّ اسْقِنَا غَيْثاً مُغِيثاً مَرِيئاً مَرِيعاً نَافِعاً غَيْرَ ضَارٍّ عَاجِلاً غَيْرَ آجِلٍ,Allahummas-qina ghaythan mughithan mari'an mari'an nafi'an ghayra darrin 'ajilan ghayra ajil,"O Allah, shower upon us abundant rain, beneficial not harmful, swiftly and not delayed.",اے اللہ ہمیں فائدہ مند بارش عطا فرما نقصاندہ نہیں، جلدی نہ کہ دیر سے۔,Sunan Abu Dawud,1169,Sahih,Asking for rain,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Narrated Jabir ibn Abdullah: The people came to the Prophet (ﷺ) weeping (due to ...
DUA-0032,Rain & Weather,When it Rains,اللَّهُمَّ صَيِّباً نَافِعاً,Allahumma sayyiban nafi'a,"O Allah, may it be a beneficial rain.",اے اللہ اسے نفع بخش بارش بنا دے۔,Sahih Bukhari,1032,Sahih,When it rains,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Aisha:Whenever Allah's Messenger (ﷺ) saw the rain, he used to say, ""O A..."
DUA-0033,Rain & Weather,When Hearing Thunder,سُبْحَانَ الَّذِي يُسَبِّحُ الرَّعْدُ بِحَمْدِهِ,Subhanal-ladhi yusabbihur-ra'du bihamdih,Glory be to Him Whom the thunder glorifies with His praise.,پاک ہے وہ جس کی تسبیح بجلی کی گرج کرتی ہے۔,Muwatta Malik,2:992,Hasan,When hearing thunder,Manual (Hisnul Muslim + Quran),📖 Quran — Verified
DUA-0034,Health & Illness,Dua for Healing,اللَّهُمَّ رَبَّ النَّاسِ، أَذْهِبِ الْبَأْسَ، اشْفِهِ وَأَنْتَ الشَّافِي، لَا شِفَاءَ إِلَّا شِفَاؤُكَ، شِفَاءً لَا يُغَادِرُ سَقَماً,"Allahumma Rabban-nas, adh-hibil-ba's, washfihi wa Antash-Shafi, la shifa'a illa shifa'uk, shifa'an la yughadiru saqama","O Allah, Lord of mankind, remove the harm and heal him, for You are the Healer. There is no healing except Your healing, a healing that leaves no illness.",اے اللہ لوگوں کے رب تکلیف کو دور کر دے اور اسے شفا دے اور تو ہی شفا دینے والا ہے، تیری شفا کے سوا کوئی شفا نہیں، ایسی شفا جو کوئی بیماری نہ چھوڑے۔,Sahih Bukhari,5742,Sahih,When visiting the sick or seeking healing,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated `Abdul `Aziz:Thabit and I went to Anas bin Malik. Thabit said, ""O Abu H..."
DUA-0035,Health & Illness,Ruqyah on Oneself,بِسْمِ اللَّهِ أَرْقِيكَ، مِنْ كُلِّ شَيْءٍ يُؤْذِيكَ، مِنْ شَرِّ كُلِّ نَفْسٍ أَوْ عَيْنٍ حَاسِدٍ، اللَّهُ يَشْفِيكَ,"Bismillahi arqik, min kulli shay'in yu'dhik, min sharri kulli nafsin aw 'aynin hasid, Allahu yashfik","In the name of Allah I perform ruqyah on you, from everything that harms you, from the evil of every soul or envious eye, may Allah cure you.",اللہ کے نام سے تجھ پر دم کرتا ہوں، ہر اس چیز سے جو تجھے تکلیف دے، ہر نفس کے شر سے یا حسد کرنے والی نظر سے، اللہ تجھے شفا دے۔,Sahih Muslim,2186,Sahih,Performing ruqyah on a sick person,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Abu Huraira reported Allah's Apostle (ﷺ) as saying:Make haste at a funeral; if t...
DUA-0036,Home,Entering Home,اللَّهُمَّ إِنِّي أَسْأَلُكَ خَيْرَ الْمَوْلِجِ وَخَيْرَ الْمَخْرَجِ، بِسْمِ اللَّهِ وَلَجْنَا، وَبِسْمِ اللَّهِ خَرَجْنَا، وَعَلَى اللَّهِ رَبِّنَا تَوَكَّلْنَا,"Allahumma inni as'aluka khayral-mawliji wa khayral-makhraj, bismillahi walajna, wa bismillahi kharajna, wa 'alallahi rabbina tawakkalna","O Allah, I ask You for the blessing of entering and leaving. In the name of Allah we enter, in the name of Allah we leave, and upon Allah our Lord we rely.",اے اللہ میں تجھ سے داخل ہونے اور نکلنے کی بھلائی مانگتا ہوں، اللہ کے نام سے داخل ہوئے اور اللہ کے نام سے نکلے اور اللہ پر بھروسہ کیا۔,Sunan Abu Dawud,5096,Sahih,When entering home,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Narrated AbuMalik Al-Ash'ari: The Prophet (ﷺ) said: When a man goes into his hou...
DUA-0037,Home,Leaving Home,بِسْمِ اللَّهِ، تَوَكَّلْتُ عَلَى اللَّهِ، وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللَّهِ,"Bismillah, tawakkaltu 'alallah, wa la hawla wa la quwwata illa billah","In the name of Allah, I place my trust in Allah, and there is no power or strength except with Allah.",اللہ کے نام سے، اللہ پر بھروسہ کیا، اور اللہ کے سوا کوئی طاقت اور قوت نہیں۔,Sunan Abu Dawud,5095,Sahih,When leaving home,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Narrated Anas ibn Malik: The Prophet (ﷺ) said: When a man goes out of his house ...
DUA-0038,Toilet,Entering Toilet,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبُثِ وَالْخَبَائِثِ,Allahumma inni a'udhu bika minal-khubuthi wal-khaba'ith,"O Allah, I seek refuge with You from male and female evil spirits.",اے اللہ میں نر اور مادہ شیاطین سے تیری پناہ مانگتا ہوں۔,Sahih Bukhari,142,Sahih,Before entering toilet,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Anas:Whenever the Prophet (ﷺ) went to answer the call of nature, he use..."
DUA-0039,Toilet,Leaving Toilet,غُفْرَانَكَ,Ghufranaka,I seek Your forgiveness.,میں تیری مغفرت مانگتا ہوں۔,Sunan Abu Dawud,30,Sahih,After leaving toilet,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Aisha, Ummul Mu'minin: When the Prophet (ﷺ) came out of the privy, he u..."
DUA-0040,Marketplace,Entering Market,لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ، لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ يُحْيِي وَيُمِيتُ وَهُوَ حَيٌّ لَا يَمُوتُ، بِيَدِهِ الْخَيْرُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ,"La ilaha illallahu wahdahu la sharika lah, lahul-mulku wa lahul-hamd, yuhyi wa yumitu wa huwa hayyun la yamut, biyadihil-khayr, wa huwa 'ala kulli shay'in qadir","None has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise; He brings life and He causes death; He is Ever-Living and does not die; in His Hand is all good, and He is over all things Omnipotent.",اللہ کے سوا کوئی معبود نہیں اکیلا ہے کوئی شریک نہیں، اسی کی بادشاہت ہے اور اسی کی تعریف ہے، وہ زندہ کرتا اور مارتا ہے اور وہ زندہ ہے کبھی نہیں مرے گا، اس کے ہاتھ میں ہر بھلائی ہے اور وہ ہر چیز پر قادر ہے۔,Sunan Ibn Majah,2235,Hasan,When entering a marketplace,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | It was narrated from Salim bin 'Abdullah bin 'Umar, from his father, that his gr..."
DUA-0041,Knowledge & Study,Dua for Knowledge,رَّبِّ زِدْنِي عِلْمًا,Rabbi zidni 'ilma,"My Lord, increase me in knowledge.",اے میرے رب میرا علم بڑھا۔,Quran 20:114,Ta-Ha:114,Sahih,When seeking knowledge or studying,Manual (Hisnul Muslim + Quran),📖 Quran — Verified
DUA-0042,Knowledge & Study,Before Studying,اللَّهُمَّ انْفَعْنِي بِمَا عَلَّمْتَنِي وَعَلِّمْنِي مَا يَنْفَعُنِي وَزِدْنِي عِلْماً,Allahumman-fa'ni bima 'allamtani wa 'allimni ma yanfa'uni wa zidni 'ilma,"O Allah, benefit me with what You have taught me, teach me that which will benefit me, and increase me in knowledge.",اے اللہ مجھے اس سے نفع دے جو تو نے مجھے سکھایا اور مجھے وہ سکھا جو مجھے نفع دے اور میرا علم بڑھا۔,Sunan Ibn Majah,251,Sahih,Seeking beneficial knowledge,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | It was narrated that Abu Hurairah said:""The Messenger of Allah used to say: 'All..."
DUA-0043,Gratitude,Alhamdulillah,الْحَمْدُ لِلَّهِ,Alhamdulillah,All praise and thanks are for Allah.,تمام تعریف اللہ کے لیے ہے۔,Quran 1:2,Al-Fatiha:2,Sahih,Expressing gratitude to Allah,Manual (Hisnul Muslim + Quran),📖 Quran — Verified
DUA-0044,Gratitude,Reply to Sneeze,يَرْحَمُكَ اللَّهُ,Yarhamukallah,May Allah have mercy upon you.,اللہ تم پر رحم فرمائے۔,Sahih Bukhari,6224,Sahih,Reply when someone sneezes,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Abu Huraira:The Prophet (ﷺ) said, "" If anyone of you sneezes, he should..."
DUA-0045,General,SubhanAllah,سُبْحَانَ اللَّهِ,SubhanAllah,Glory be to Allah.,اللہ پاک ہے۔,Sahih Bukhari,6406,Sahih,Expressing Allah's perfection,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Abu Huraira:The Prophet (ﷺ) said, ""There are two expressions which are ..."
DUA-0046,General,Allahu Akbar,اللَّهُ أَكْبَرُ,Allahu Akbar,Allah is the Greatest.,اللہ سب سے بڑا ہے۔,Sahih Bukhari,2992,Sahih,Expressing Allah's greatness,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Narrated Abu Musa Al-Ash`ari:We were in the company of Allah's Messenger (ﷺ) (du...
DUA-0047,General,La ilaha illallah,لَا إِلَهَ إِلَّا اللَّهُ,La ilaha illallah,There is no deity worthy of worship except Allah.,اللہ کے سوا کوئی معبود نہیں۔,Sahih Bukhari,6403,Sahih,Remembrance of Allah,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Abu Huraira:Allah's Messenger (ﷺ) said,"" Whoever says: ""La ilaha illal-..."
DUA-0048,General,Inna Lillahi,إِنَّا لِلَّهِ وَإِنَّا إِلَيْهِ رَاجِعُونَ,Inna lillahi wa inna ilayhi raji'un,"Indeed, to Allah we belong and to Allah we shall return.",بیشک ہم اللہ کے لیے ہیں اور اسی کی طرف لوٹنے والے ہیں۔,Quran 2:156,Al-Baqarah:156,Sahih,Upon hearing bad news or a calamity,Manual (Hisnul Muslim + Quran),📖 Quran — Verified
